tweetId,noteId,full_text,summary,rating
1.83128E+18,1.83135E+18,"RFK Jr has promised to stop ""the crime"" of ""chemtrails.

Does this mean it's not a conspiracy theory anymore?","Chemtrails do not exist.  In reality, the trails seen behind aircraft are contrails or &quot;condensation trails.&quot;  Contrails form when the hot, humid exhaust from an aircraft engine mixes with the cooler, low-pressure air at high altitudes, causing water vapor to condense    https://www.usatoday.com/story/news/factcheck/2023/04/14/fact-check-chemtrails-arent-real-arent-related-climate-change/11624336002/  https://www.space.com/what-are-contrails",R
1.7699E+18,1.76991E+18,"BREAKING

The vote is in and we have forced the Liberals to:

- Stop selling arms to the Israeli govt,
- Support the ICC and ICJ,
- Place sanctions on extremist settlers,
- and much more

Every single Conservative MP and some Liberals tried to block it - they failed.",The note refers to Singh as a retard. That characterization is offensive to retards.    https://www.merriam-webster.com/dictionary/retard,L
1.9351E+18,1.93781E+18,"@_aussie17 As Dr. Murakami noted, “We found that as the number of doses increases, the peak of deaths appears faster, meaning the more doses you get, the sooner you’re likely to die, within a shorter period. So, the risk increases with more doses.” https://t.co/5j7yTTA2NY","MISLEADING    The data was presented in a livestream, without peer review or verification.    The data, whose source is undetermined, does not show type of vaccine, number of vaccinated or unvaccinated.    Its data actually showed deaths reducing after multiple vaccine doses.    https://www.techarp.com/fact-check/japan-vaccine-doses-early-death/    https://archive.ph/wip/9fA1M    https://archive.ph/FDzPP",R
1.97071E+18,1.97091E+18,"Tucker Carlson: America started preparing for war with Iraq ""immediately"" after September 11th ""at the behest of a foreign government—Israel."" https://t.co/UQ0i6aDX31","NNN: It's a statement right or wrong.  Any arguments, agreements or disagreements should be in the comments.     Keep your political opinions out of community notes",R
1.97271E+18,1.97274E+18,@BigPompaPomp @MistyStagnone @mbren266 @RepSwalwell @JDVance Jesus Christ you people are pathetic https://t.co/YpTjs8JsdZ,Archives of the original Facebook post confirms that the MAGA is authentic. The version without Trump on it is the doctored version.   archive.ph/KgVj0,R
1.88036E+18,1.8805E+18,"🚨#BREAKING: More than half a dozen local police departments are refusing to assist with securing Donald Trumps inauguration.

📌#Washington | #DC

Currently More than half a dozen local Washington D.C.-area police departments have announced they will not assist the https://t.co/qNXq3kdHf3","Misleading. It is unrelated to Trump.    The National Police Association responded to this story, saying it is from a &quot;long-standing dispute with Metropolitan Police Department (MPD) regarding use of force criteria. [...] The headline is misleading. It is not about Trump.&quot;    https://archive.ph/r5WqV",R
1.77582E+18,1.77621E+18,I'm very uncomfortable about this. Sir Alan Duncan makes allegations of Jewish interests pulling the strings at the top of government. Leaves a very bitter taste,"In the clip Alan Duncan names 8 senior Conservatives as  supporters of Israel's West Bank settlements, only one of whom (Stuart Polak) is Jewish. He alleges Israeli state influence via Conservative Friends of Israel, but does not connect this to 'Jewish interests'.  https://en.wikipedia.org/wiki/Conservative_Friends_of_Israel",R
1.99848E+18,1.99852E+18,"Donald Trump says the economy is “A+++++.”

Really? 
60% of Americans live paycheck to paycheck.
800,000 are homeless.
Food prices are at record highs.
Wages lag behind inflation.

God help us when we have a B+++++  economy.
https://t.co/KofYUEWxdb",The 60% paycheck-to-paycheck claim is from 2023. Joe Biden was president at this time.   https://ir.lendingclub.com/news/news-details/2023/Nearly-60-of-Credit-Cardholders-in-the-U.S.-Live-Paycheck-to-Paycheck/default.aspx ,A
1.75849E+18,1.75896E+18,@MattWallace888 Lack of parenting skills and believing a woke agenda so not surprised by this sad news. It is mental health parenting mental health,"Being transgender is not medically a mental health condition.    https://www.nhs.uk/conditions/gender-dysphoria/#:~:text=Gender%20dysphoria%20and%20gender%20identity&amp;text=Some%20people%20with%20gender%20dysphoria,problems%20because%20of%20gender%20dysphoria.    Caring for you transgender child in a supportive and caring way, is not woke. It's respecting your child's human rights.    https://www.hrc.org/resources/transgender-children-and-youth-understanding-the-basics",R
1.88468E+18,1.88497E+18,"Father Calvin Robinson finished his remarks at the National Pro-Life Summit by throwing an Elon Musk salute, much to the delight of the crowd. https://t.co/cAE9VyTsl1","This is what’s clearly a joking reference to the Nazi salute, preformed by Elon Musk.  https://en.m.wikipedia.org/wiki/Nazi_salute    It should also be noted that the damage these jokes cause has cost this man his job, as noted in the front page of https://anglicancatholic.org/  This is a serious matter and shouldn’t be defended.  ",L
