topic,tweet,partisan_lean,human_label
Black Lives Matter,#BlackLivesMatter ride to #Ferguson has left me in awe. Didn't think I could feel more awake than I already was before coming.,LEFT,LEFT
Women’s Right,"Oh if you have Disney+ I really recommend the Pride documentary series. The episode on the 1970s is mainly about feminism and lesbians but also shows how the current anti-trans/queer discourse is EXACTLY the same as the anti-gay movement was then. Schools, kids, bathrooms.",LEFT,LEFT
Political Parties,"This was no mistake. This was a calculated dog-whistle to what Democrats believe are moderate Republicans, you know the same ones that got Hillary elec. uh

'This Is Unacceptable': Sanders Calls On Biden to Disavow Surrogate's Racist Attack on Nina Turner",CENTER,LEFT
Abortion,"Biden still seems to think the Republican Party’s fever might break. On Wednesday, he reportedly reached a “deal” with Mitch McConnell agreeing to support the nomination of an anti-abortion judge to the federal bench.",RIGHT,LEFT
Political Parties,Never thought I would live in a country where our media would do anything to destroy what took centuries to build. #DemocratsHateAmerica #DemocratsAreDestroyingAmerica,LEFT,RIGHT
Women’s Right,"2 B fair, I think STURGEONS SNP have proved 2 B not FIT 4 purpose, all she’s done since taking over is send powers back 2WM. Send innocent ppl 2jail, remove female born womens rights, & never once used any of the 7 mandates she’s been given. COWARDLY actions do NOT a leader make",RIGHT,RIGHT
Abortion,"BREAKING: Abortion services can resume in Utah! A Utah court just blocked the state's abortion ban, which took effect after the U.S. Supreme Court overturned Roe v. Wade. 
While this is a win, it's only the first step in the long fight ahead.",LEFT,LEFT
Capitol Hill Riot,"Mr. Trump, supporters who storm Capitol Hill,. Have been round up and faces charges. But how many BLM, rioters who burnt down there City been facing charges?",CENTER,RIGHT
Covid-19,.has deemed agriculture as critical infrastructure as we keep fighting #Covid_19. America’s Ag-producers are committed to ensuring we have the most abundant and stable food supply today and every day. #ThankAFarmer,LEFT,NEUTRAL
Black Lives Matter,"this country was never great. it was built by terrorizing minorities, ESPECIALLY innocent black people. they’re being murdered in broad daylight and ignorant racists still think there’s justification in our government’s actions. #BlackLivesMatter #ICantBreathe",LEFT,LEFT
